code,date,aid,title,eqr_new,still_miss,frag
300458,2022-03-25,1212671375,全志科技：关于续聘2022年度审计机构的公告,,True,签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4.审计
300460,2023-10-24,1218123054,惠伦晶体：关于续聘2023年度审计机构的公告,,True,告情况共计4家。项目质量复核人员陈勇：2007年12月成为注册会计师 || 无不良诚信记录。项目质量复核人员陈勇不存在违反《中国注册会计师职业道 || 签字注册会计师、项目质量控制复核人能够在执行本项目审计工作时保持独立性
300464,2021-04-23,1209777314,星徽股份：关于拟续聘会计师事务所的公告,,True,审计报告。（3）项目质量控制复核人：赵益辉赵益辉2009年成为注册会计 || 签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，未受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300464,2022-04-26,1213107584,星徽股份：关于拟续聘会计师事务所的公告,,True,审计报告。（3）项目质量控制复核人：赵益辉赵益辉2009年成为注册会计 || 签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，未受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300464,2020-04-01,1207440597,星徽精密：关于变更会计师事务所的公告,,True,签字注册会计师及项目质量控制复核人的具体情况如下：（1）签字注册会计师 || 投资公司。（3）项目质量控制复核人：李威执业资质：中国注册会计师3是否 || （特殊普通合伙）质量控制复核人，从事注册会计师行业近15年，曾参与 || 等上市公司审计的质量控制复核人。（三）业务信息中审华事务所2019
300465,2020-04-29,1207659260,高伟达：关于续聘2020年度审计机构的公告,,True,任能力：是（2）质量控制复核人：李会英执业资质：注册会计师、注册资
300464,2023-04-24,1216528429,星徽股份：关于拟续聘会计师事务所的公告,,True,审计报告。（3）项目质量控制复核人：曹培强曹培强2007年开始在证券资 || 签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，未受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300464,2023-05-04,1216748265,星徽股份：关于变更2022年度向特定对象发行股票专项审计机构的公告,,True,审计报告。（3）项目质量控制复核人：曹培强曹培强2007年开始在证券资 || 签字注册会计师、项目质量控制复核人近三年未因执业行为受到刑事处罚，未受 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300465,2023-08-24,1217617504,高伟达：关于续聘公司2023年度审计机构的公告,,True,23年1家许菊萍质量控制复核人2002年2000年2002年5月2 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300465,2024-06-19,1220400842,高伟达：关于续聘公司2024年度审计机构的公告,,True,23年2家许菊萍质量控制复核人2002年2000年2002年5月2 || 签字注册会计师、项目质量控制复核人近三年不存在因执业行为受到刑事处罚， || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300468,2022-04-22,1213023565,四方精创：关于公司续聘会计师事务所的公告,,True,市公司审计报告。项目质量控制复核人：注册会计师，2012年开始从事上市 || 签字注册会计师及质量控制复核人员近三年不存在因执业行为受到刑事处罚 || 签字注册会计师、项目质量控制复核人，不存在违反《中国注册会计师职业道德
300471,2020-04-20,1207524821,厚普股份：关于续聘会计师事务所的公告,,True,职。（3）拟安排质量控制复核人员：何均中国注册会计师，1999年起 || 签字注册会计师和项目质量控制复核人最近三年未受到刑事处罚、行政处罚、行
300471,2022-03-24,1212651337,厚普股份：关于续聘会计师事务所的公告,,True,职。（4）拟安排质量控制复核人员：张美琳中国注册会计师，2020年 || 签字注册会计师和项目质量控制复核人最近三年未因执业行为受到刑事处罚，未 || 注册会计师、项目质量控制复核合伙人不存在违反《中国注册会计师职业道德守
300471,2021-04-13,1209675668,厚普股份：关于续聘会计师事务所的公告,,True,职。（4）拟安排质量控制复核人员：何均中国注册会计师，1997年成 || 签字注册会计师和项目质量控制复核人最近三年未因执业行为受到刑事处罚，未 || 注册会计师、项目质量控制复核合伙人不存在违反《中国注册会计师职业道德守
300471,2023-04-18,1216443256,厚普股份：关于续聘会计师事务所的公告,,True,司。（4）拟安排项目质量控制复核人员：张美琳中国注册会计师，2020年 || 签字注册会计师和项目质量控制复核人最近三年未因执业行为受到刑事处罚，未 || 注册会计师、项目质量控制复核合伙人不存在违反《中国注册会计师职业道德守 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300471,2024-04-19,1219665647,厚普股份：关于聘请会计师事务所的公告,,True,司。（4）拟安排项目质量控制复核人员：刘夏村中国注册会计师，2021年 || 签字注册会计师和项目质量控制复核人最近三年未因执业行为受到刑事处罚，未 || 注册会计师、项目质量控制复核合伙人不存在违反《中国注册会计师职业道德守 || 签字注册会计师、项目质量控制复核人不存在可能影响独立性的情形。4、审计
300477,2023-02-02,1215755612,合纵科技：关于变更签字注册会计师及质量复核人员的公告,,True,签字注册会计师及质量复核人员的公告本公司及董事会全体成员保证信息 || 签字注册会计师及项目质量复核人员的函》，现将具体情况公告如下：一、本 || 本次签字会计师及项目质量复核人员变更的基本情况大华事务所作为公司20 || 审计服务，陈红为项目质量复核人员为公司的审计服务项目提供复核工作。鉴 || 吴细平、张玉虎及项目质量复核人员陈红工作调整，现将公司财务报表审计的 || ，将李相繁变更为项目质量复核人员。二、本次变更后的签字会计师及项目质
