code,date,aid,title,eqr_new,still_miss,frag
300146,2021-03-06,1209347054,汤臣倍健：关于续聘会计师事务所为公司2021年度审计机构的公告,李臻,False,
300146,2022-03-05,1212511995,汤臣倍健：关于聘任公司2022年度审计机构的公告,李臻,False,
300150,2022-04-22,1213019740,世纪瑞尔：关于续聘2022年度会计师事务所的公告,刘志坚,False,
300150,2023-04-21,1216487749,世纪瑞尔：关于续聘2023年度会计师事务所的公告,刘志坚,False,
300144,2020-04-28,1207644795,宋城演艺：关于聘任2020年度审计机构的公告,杜志强、倪一琳,False,
300154,2023-04-18,1216442445,瑞凌股份：关于续聘2023年度会计师事务所的公告,徐冬冬,False,
300158,2022-03-31,1212751657,振东制药：关于续聘 2022 年审计机构的公告,于艳霞,False,
300158,2021-04-24,1209794383,振东制药：关于续聘 2021 年审计机构的公告  2021-040,于艳霞,False,
300158,2024-04-23,1219735870,振东制药：关于续聘 2024 年度审计机构的公告,于艳霞,False,
300158,2023-04-25,1216558780,振东制药：关于续聘 2023 年审计机构的公告,于艳霞,False,
300159,2020-04-29,1207663927,新研股份：关于续聘2020年度审计机构的公告,朱瑛、杨景欣,False,
300159,2022-04-28,1213165829,新研股份：关于续聘公司2022年度审计机构的公告,周坤,False,
300159,2022-12-20,1215398593,ST新研：关于拟变更会计师事务所的公告,冯发明,False,
300159,2024-04-27,1219866016,新研股份：关于续聘公司2024年度审计机构的公告,刘斌,False,
300159,2023-04-26,1216593635,ST新研：关于续聘公司2023年度审计机构的公告,冯发明,False,
300162,2021-04-24,1209794813,雷曼光电：关于续聘会计师事务所的公告,宋治忠,False,
300162,2024-04-20,1219693402,雷曼光电：关于续聘会计师事务所的公告,汤艳群,False,
300162,2023-04-24,1216519183,雷曼光电：关于续聘会计师事务所的公告,汤艳群,False,
300164,2020-04-23,1207557218,通源石油：关于续聘2020年度审计机构的公告,黄迎,False,
300165,2020-04-15,1207506076,天瑞仪器：关于续聘会计师事务所的公告,均具备,False,
300166,2022-04-22,1213028440,东方国信：关于续聘会计师事务所的公告,冯万奇、丁彭凯,False,
300166,2023-04-27,1216622849,东方国信：关于续聘会计师事务所的公告,冯万奇、丁彭凯,False,
300170,2020-04-28,1207639449,汉得信息：关于续聘会计师事务所的公告,李海兵,False,
300170,2023-04-25,1216549555,汉得信息：关于续聘会计师事务所的公告,何剑、李海兵,False,
300172,2023-03-28,1216237529,中电环保：关于续聘公司2023年度审计机构的公告,葛伟俊,False,
300166,2020-04-29,1207664630,东方国信：关于续聘会计师事务所的公告,冯万奇、丁彭凯,False,
300154,2022-03-29,1212709798,瑞凌股份：关于续聘2022年度会计师事务所的公告,付忠伟,False,
300168,2020-04-29,1207660239,万达信息：关于拟续聘2020年度会计师事务所的公告,吴蓉、赵敏,False,
300166,2021-04-28,1209835599,东方国信：关于续聘会计师事务所的公告,冯万奇、丁彭凯,False,
300178,2020-05-01,1207703909,腾邦国际：关于续聘公司2020年审计机构的公告,包铁军,False,
300154,2021-04-06,1209638029,瑞凌股份：关于续聘2021年度会计师事务所的公告,陈琼,False,
