stkcd,year,eng1_name,eng2_name,eng1_pid,eng2_pid,eqr_name,eqr_pid,eqr_ann_date,worktie,worktie_eng1_eng2,tie_projects
002064,2021,朱伟,杨金晓,30259940、30259940.0、30336480.0、30426447.0、30619954.0、30984043.0,30297365、30297365.0,,,,0,1,
002064,2022,张建新,王徐明,30260883、30260883.0,30684537、30684537.0,李慧丰,,2022-04-30,0,0,
002064,2023,张建新,王徐明,30260883、30260883.0,30684537、30684537.0,吕爱珍,30390010.0,2024-04-20,0,1,
002065,2020,叶立萍,邢博晖,30328803、30328803.0,30544306、30544306.0,,,,0,0,
002065,2021,叶立萍,邢博晖,30328803、30328803.0,30544306、30544306.0,,,,0,1,
002065,2022,许满库,高金刚,30417771、30417771.0,30417924、30417924.0,,,,0,0,
002065,2023,许满库,高金刚,30417771、30417771.0,30417924、30417924.0,王新文,30417856.0,2024-04-12,0,1,
002066,2020,孟庆祥,胡碟,30364071、30364071.0,30429561、30429561.0,,,,0,0,
002066,2021,孟庆祥,王幈,30364071、30364071.0,30545257、30545257.0,许培梅,30386347.0,2021-08-25,0,0,
002066,2022,王克东,赵永华,30259918、30259918.0,30417098、30417098.0,武晓景,30416981.0,2022-04-21,0,1,
002066,2023,张文雪,张震,30417097、30417097.0,30408618、30408618.0,武晓景,30416981.0,2024-06-28,0,1,
002067,2020,张颖,章璐卿,30298197、30298197.0、30545046.0、30545086.0、30583745.0、30618333.0、30654402.0、30790359.0、30983839.0、30985379.0,30619652、30619652.0,,,,0,1,
002067,2021,严善明,修鸿儒,30290774、30290774.0,30583343、30583343.0,,,,0,1,
002067,2022,严善明,修鸿儒,30290774、30290774.0,30583343、30583343.0,,,,0,1,
002067,2023,张颖,修鸿儒,30298197、30298197.0、30545046.0、30545086.0、30583745.0、30618333.0、30654402.0、30790359.0、30983839.0、30985379.0,30583343、30583343.0,,,,0,1,
002068,2020,冯丽娟,涂卫兵,3065064、3065064.0,30259364、30259364.0,,,,0,1,
002068,2021,冯丽娟,涂卫兵,3065064、3065064.0,30259364、30259364.0,,,,0,1,
002068,2022,李国平,余鹏,3030000、3030000.0,30684997、30684997.0,,,,0,0,
002068,2023,李国平,余鹏,3030000、3030000.0,30684997、30684997.0,,,,0,1,
002069,2020,周含军,曾双,30327860、30327860.0,30619965、30619965.0,,,,0,1,
002069,2021,武宜洛,曾双,30417392、30417392.0,30619965、30619965.0,,,,0,0,
